time,id_s,iq_s,vd_s,vq_s,W,T
0.0166,-0.070875845,-0.041161892,375.4698124,-9.438573024,93.94213986,-0.007222713
0.0167,-0.028228172,-0.0430259,375.5587723,4.719659156,93.94197349,-0.002874101
0.0168,0.014440883,-0.043281328,375.1140427,18.87118444,93.94194759,0.001474631
0.0169,0.057070682,-0.041928679,374.1362556,32.99589274,93.94206207,0.005817378
0.017,0.09960066,-0.038970745,372.6268003,47.07371207,93.94231664,0.01014798
0.0171,0.141970404,-0.034412596,370.587822,61.08463708,93.94271081,0.014460227
0.0172,0.184119741,-0.028261577,368.022218,75.00875748,93.9432439,0.018747867
0.0173,0.225988825,-0.020527292,364.9336344,88.82628633,93.94391499,0.02300462
0.0174,0.267518221,-0.011221595,361.3264601,102.5175882,93.94472301,0.027224183
0.0175,0.308648988,-0.00035857,357.2058212,116.0632069,93.94566664,0.031400239
0.0176,0.349322764,0.012045491,352.5775732,129.4438935,93.94674438,0.035526473
0.0177,0.38948185,0.025972109,347.4482932,142.6406332,93.94795453,0.039596572
0.0178,0.429069289,0.041400643,341.8252701,155.6346727,93.94929516,0.043604242
0.0179,0.468028949,0.058308326,335.7164947,168.4075469,93.95076417,0.047543217
0.018,0.506305602,0.076670291,329.1306477,180.9411048,93.95235924,0.051407266
0.0181,0.543845001,0.096459613,322.0770881,193.2175354,93.95407784,0.055190203
0.0182,0.580593961,0.117647341,314.5658393,205.2193933,93.95591727,0.058885901
0.0183,0.616500428,0.140202546,306.6075753,216.9296233,93.9578746,0.062488297
0.0184,0.651513558,0.164092361,298.2136051,228.3315844,93.95994674,0.065991405
0.0185,0.685583787,0.18928203,289.395857,239.4090738,93.96213037,0.069389324
0.0186,0.718662901,0.215734958,280.1668616,250.1463498,93.96442201,0.072676251
0.0187,0.750704105,0.243412761,270.5397338,260.5281542,93.96681798,0.075846486
0.0188,0.781662088,0.272275325,260.5281542,270.5397338,93.96931443,0.078894445
0.0189,0.811493088,0.30228086,250.1463498,280.1668616,93.97190732,0.08181467
0.019,0.840154955,0.333385961,239.4090738,289.395857,93.97459244,0.084601836
0.0191,0.867607207,0.36554567,228.3315844,298.2136051,93.97736541,0.087250762
0.0192,0.893811092,0.398713539,216.9296233,306.6075753,93.98022168,0.089756421
0.0193,0.918729637,0.432841699,205.2193933,314.5658393,93.98315654,0.092113946
0.0194,0.942327707,0.467880927,193.2175354,322.0770881,93.98616515,0.094318643
0.0195,0.964572047,0.503780714,180.9411048,329.1306477,93.98924248,0.096365998
0.0196,0.985431336,0.54048934,168.4075469,335.7164947,93.9923834,0.098251683
0.0197,1.004876225,0.577953947,155.6346727,341.8252701,93.9955826,0.099971568
0.0198,1.022879382,0.616120616,142.6406332,347.4482932,93.99883468,0.101521729
0.0199,1.039415531,0.654934437,129.4438935,352.5775732,94.00213409,0.102898453
0.02,1.054461484,0.694339598,116.0632069,357.2058212,94.00547517,0.104098247
0.0201,1.067996175,0.734279456,102.5175882,361.3264601,94.00885216,0.105117848
0.0202,1.080000692,0.774696619,88.82628633,364.9336344,94.01225918,0.105954223
0.0203,1.0904583,0.815533031,75.00875748,368.022218,94.01569028,0.106604585
0.0204,1.099354464,0.856730054,61.08463708,370.587822,94.0191394,0.107066392
0.0205,1.106676875,0.898228547,47.07371207,372.6268003,94.02260042,0.107337358
